image_name,image_category,image_tags
Image1,Culture,"colors,pink,people,festival, culture, holy day, rituals, ceremony, mankind, nation,country,holi, festivals of colors"
Image2,"Monument, Culture","sculpture,monument, ancient, art, culture, sculpt, engrave, cast, carve, artwork, skill, artistry, past, early,classical, murti"
Image3,Culture,"red, dance, culture, decorate,decoration, costume, outfits, attire, frock, tradition, folk dance, traditional"
Image4,Culture,"red, dance, culture, decorate,decoration, costume, outfits, attire, frock, tradition, folk dance, traditional"
Image5,Wildlife,"wildlife,wolf,ice,animal, fauna, pashu, jeev, frozen, polar, frost"
Image6,Wildlife,"wildlife,chameleon,green, animal"
Image7,Wildlife,"wildlife,birds,tree, birds of prey, trees, forest, panchi, chidhiya, jungle, woodland, feathers"
Image8,Wildlife,"animals, wildlife, monkey, chimpanzee, trees, forest, jungle, apes, ape"
Image9,Culture,"red, dance, culture, decorate,decoration, costume, outfits, attire, frock, tradition, folk dance, traditional"
Image10,Wildlife,"kleiner panda, panda, amazon, wildlife, cute panda, prey, animal"
Image11,Wildlife,"sloth, animal, amazon, forest, lazy, lazy animal"
Image12,Wildlife,"catepillar,reptile, amazon, forest, jungle,small snake, leech,wildlife,blood suckers"
Image13,Wildlife,"reindeer, fight, fighting reindeers, love, forest, deer, deers"
Image14,Wildlife,"squirrel, animals, forest, jungle, grass, green, animal life, ground, ground squirrel"
Image15,Wildlife,"squirrel, animals, forest, jungle, grass, green, animal life, ground, ground squirrel"
Image16,Culture,"dance,kathakali,culture,dress,art, dance forms, attire, classical dance, classical, kerala"
Image17,Wildlife,"forest,animals,elephant,trees,zoo, jungle, wildlife"
Image18,Culture,"red, dance, culture, decorate,decoration, costume, outfits, attire, frock, tradition, folk dance, traditional"
Image19,Culture,"murti, durgapuja, festival, culture, tradition, culture, india, holy day, rituals, puja, nation, country, durgotsava, goddess durga, bengali, west bengal,religious, kolkata"
Image20,"Culture, People","culture, priest, pandit, tradition, shankha, religious, hinduism,buddhism,shell,orange, bhakti, aradhna, puja,worship,people"
Image21,Wildlife,"wildlife,birds,water,ocean, nature,scenery, "
Image22,Culture,"colors,pink,people,festival, culture, holy day, rituals, ceremony, mankind, nation,country,holi, festivals of colors"
Image23,Wildlife,"seal, water animal, amazon, forest,wildlife,pose"
Image24,Culture,"red, dance, culture, decorate,decoration, costume, outfits, attire, frock, tradition, folk dance, traditional"
Image25,"People, City","people,city,vehicle,labour,truck,automobile, transport, "
Image26,"Monument, People","monument,dark,man,black,grave, tomb, security, guard,people,delhi"
Image27,"Monument, People","monument,india gate,bubbles,man,salesman, delhi,human, person,pillar"
Image28,Monument,"monument,grave,dark,black,tomb, delhi,chamber"
Image29,City,"city,lights,metro,street,road,delhi,metropolitan city, traffic"
Image30,People,"soldiers,fighters,army,road,people,serviceman, warrior,delhi,duty,sipahi"
Image31,"Monument, People","jama masjid,people,monument,children,place,old delhi, delhi, mosque, masjid, holy place, place of worship, worship, house of god"
Image32,"Monument, People","jama masjid,people,monument,children,place,old delhi, delhi, mosque, masjid, holy place, place of worship, worship, house of god"
Image33,"Monument, People, Culture","jama masjid,people,monument,children,place, old delhi, delhi, mosque, masjid, holy place, place of worship, worship, house of god,dome"
Image34,People,"people,children,happy,youngsters, boys, school boys, education"
Image35,People,"soldiers,fighters,army,road,people,serviceman, warrior,delhi,duty,sipahi"
Image36,City,"city,lights,metro,street,road,delhi,metropolitan city, traffic"
Image37,People,"soldiers,fighters,army,people, serviceman, warrior,delhi,duty,sipahi"
Image38,City,"city,lights,metro,street,road,delhi,metropolitan city, traffic"
Image39,People,"dark,boy,shadow,corridor,people,random,light"
Image40,City,"city,building,black and white,nature,construction,property, delhi"
Image41,City,"road,black and white, man,city,zebra crossing, street,roadway, lane,way,track"
Image42,City,"city, lights,road,man,night,street, lane,track,way,cityroads, traffic, delhi, vehicles,trees,houses,residential"
Image43,People,"people,chairs,men,gossips"
Image44,People,"soldiers,fighters,army,people, serviceman, warrior,delhi,duty,sipahi,weapons"
Image45,City,"city,lights,metro,street,road,delhi,metropolitan city, traffic,delhi metro"
Image46,"City, People","city,people,police,cops,delhi,security,policeman, officers"
Image47,"Monument, City","monument,city,people,road,trees,delhi,rashtrapati bhawan, track,way,delhi,place"
Image48,"City, People","city,people,police,cops,delhi,security,policeman, officers"
Image49,Monument,"monument,road,city,rashtrapati bhawan,delhi,way,track,place"
Image50,Nature,"nature,scenery,hill station,shimla, houses,trees, greenery, hill side, hilltop, landscape"
Image51,"Monument, City","monument,jama masjid,dome,delhi, masjid, mosque, holy place,worship, old delhi,houses,city"
Image52,Monument,"road,city,rashtrapati bhawan, delhi, way,path,track,lane,monument"
Image53,Monument,"monument,city,greenery,rashtrapati bhawan, delhi,place"
Image54,Nature,"nature,scenery,hill station,shimla, houses,trees, greenery, hill side, hilltop, landscape"
Image55,Nature,"nature,scenery,hill station,shimla, houses,trees, greenery, hill side, hilltop, landscape"
Image56,People,"skull,black,hands,head, scalp, people,random"
Image57,"People, City","people,city,train,metro,platform,boy,child,town"
Image58,"Monument, People","jama masjid,people,monument,children,place, old delhi, delhi, mosque, masjid, holy place, place of worship, worship, house of god,dome,happy child, happy"
Image59,Nature,"nature, scenery,hill station,shimla, houses,trees, greenery, hill side, hilltop, landscape"
Image60,"Monument, People","games,people,cricket,bat,trees,ground,india gate,monument,place,delhi,city,match, event"
Image61,"Monument, People","monument,people,bridge,way,path,crossing,people,walk,flyover,delhi"
Image62,People,"hand,shadow,black,fog,mist,random"
Image63,"Nature, People","nature,horse,forest,trees,jungle,scene,greenery,woodland,land"
Image64,People,"people, trees,random, footpath,area,town,men,human,mankind,workers"
Image65,"People, City","people,city,children,circus,play,roadway,road"
Image66,"People, Nature","girl,black and white,monument,stairs"
Image67,"Monument, City","india gate,road,street,trees,nature,city,monument,place,delhi, track,walkway,sunset"
Image68,"Monument, City","india gate,road,street,trees,nature,city,monument,place,delhi, track,walkway,sunset"
Image69,City,"india gate,road,street,trees,nature,city,monument,place,delhi, track,walkway,sunset"
Image70,City,"city,cycle,people,car,travelling,road,pillars,path,way,track,delhi"
Image71,Monument,"dome,lights,monument,city,celebrations,old delhi,mosque,worship"
Image72,City,"city, lights,road,night,metro,street,delhi,metropolitan city, traffic"
Image73,Monument,"dome,lights,monument,city,celebrations, old delhi,mosque,worship,gumbad"
Image74,"Monument, People, Culture","people,jama masjid,monuments,dome,culture,mosque,holy place,masjid,worship,women,happiness,gumbad,old delhi"
Image75,People,"soldiers,army,fighters,people,happy,duty,guards,delhi"
Image76,Nature,"nature,trees,clouds,sky,shimla,hill station,hilltop,scenery,greenery,country"
Image77,Monument,"monuments,jama masjid,city,children,dome, masjid,mosque, holy place, worship,gumbad,old delhi,delhi"
Image78,"Monument, People","monuments,jama masjid,city,children, dome, masjid,mosque, holy place, worship,old delhi,delhi,gumbad"
Image79,"Monument, People","monument,people, place,flyover,bridge"
Image80,Nature,"nature,trees,sky,light"
